T;Alpha_m;Alpha_i;E;Nu;Rho;Lambda;Cp;Sy.min;Sy.average;Su.min;Su.average;SmB_etanche;SmB_non_etanche;SB;T_fluage;D_irneg;D_irmax
20;;;211000;;;;;730;;860;;243;243;172;;;
50;;;208375;;;;;720;;846;;240;240;172;;;
75;;;206187.5;;;;;711;;834.5;;237;237;172;;;
100;11.1;;204000;;;;;702;;823;;234;234;172;;;
125;11.35;;202000;;;;;689.5;;811.5;;230;230;172;;;
150;11.6;;200000;;;;;677;;800;;226;226;172;;;
175;11.85;;198000;;;;;658.5;;797;;219.5;219.5;172;;;
200;12.1;;196000;;;;;640;;794;;213;213;172;;;
225;12.3;;193500;;;;;621;;790.5;;207;207;172;;;
250;12.5;;191000;;;;;602;;787;;201;201;172;;;
275;12.7;;188500;;;;;582;;785;;194;194;172;;;
300;12.9;;186000;;;;;562;;783;;187;187;172;;;
325;13.05;;184000;;;;;540;;781;;180;180;172;;;
350;13.2;;182000;;;;;518;;779;;173;173;172;;;
375;;;;;;;;;;;;;;;;;
400;;;;;;;;;;;;;;;;;
425;;;;;;;;;;;;;;;;;
450;;;;;;;;;;;;;;;;;
475;;;;;;;;;;;;;;;;;
500;;;;;;;;;;;;;;;;;
525;;;;;;;;;;;;;;;;;
550;;;;;;;;;;;;;;;;;
575;;;;;;;;;;;;;;;;;
600;;;;;;;;;;;;;;;;;
625;;;;;;;;;;;;;;;;;
650;;;;;;;;;;;;;;;;;
675;;;;;;;;;;;;;;;;;
700;;;;;;;;;;;;;;;;;
750;;;;;;;;;;;;;;;;;
800;;;;;;;;;;;;;;;;;
850;;;;;;;;;;;;;;;;;
900;;;;;;;;;;;;;;;;;
950;;;;;;;;;;;;;;;;;
1000;;;;;;;;;;;;;;;;;
