T;Alpha_m;Alpha_i;E;Nu;Rho;Lambda;Cp;Sy.min;Sy.average;Su.min;Su.average;Sm;S;T_fluage;D_irneg;D_irmax
20;11.3;11.3;212000;0.3;7850;55.2;460;245;306.25;410;441;137;103;;;
50;11.5;11.8;210000;0.3;7842;54.5;475;228;285;400;431;137;103;;;
75;11.7;12.15;208000;0.3;7835;53.8;486;212;265;397;430.5;134;103;;;
100;11.9;12.5;206000;0.3;7828;53.1;497;196;245;394;430;131;103;;;
125;12.075;12.8;204000;0.3;7820.5;52.4;506.5;188.5;235.625;391;429;126;103;;;
150;12.25;13.1;202000;0.3;7813;51.7;516;181;226.25;388;428;121;103;;;
175;12.425;13.4;200500;0.3;7805;51;524;174;217.5;384.5;427;116;103;;;
200;12.6;13.7;199000;0.3;7797;50.3;532;167;208.75;381;426;111;103;;;
225;12.75;13.95;197000;0.3;7789;49.5;540.5;160;200;378;425;106.5;102.5;;;
250;12.9;14.2;195000;0.3;7781;48.7;549;153;191.25;375;424;102;102;;;
275;13.05;14.45;193000;0.3;7772.5;47.95;558;146.5;183.125;372;423;97.5;97.5;;;
300;13.2;14.7;191000;0.3;7764;47.2;567;140;175;369;422;93;93;;;
325;13.3;14.9;189000;0.3;7755.5;46.35;577;135;168.75;366;421;90;90;;;
350;13.4;15.1;187000;0.3;7747;45.5;587;130;162.5;363;420;87;87;;;
375;13.55;15.25;185000;0.3;7738;44.65;599;;;;;;;;;
400;13.7;15.4;183000;0.3;7729;43.8;611;;;;;;;;;
425;;;;0.3;7720;42.9;626;;;;;;;;;
450;;;;0.3;7711;42;641;;;;;;;;;
475;;;;0.3;7702.5;41.1;659.5;;;;;;;;;
500;;;;0.3;7694;40.2;678;;;;;;;;;
525;;;;0.3;7684.5;39.2;700.5;;;;;;;;;
550;;;;0.3;7675;38.2;723;;;;;;;;;
575;;;;0.3;7665.5;37.25;750.5;;;;;;;;;
600;;;;0.3;7656;36.3;778;;;;;;;;;
625;;;;0.3;;;;;;;;;;;;
650;;;;0.3;;;;;;;;;;;;
675;;;;0.3;;;;;;;;;;;;
700;;;;0.3;;;;;;;;;;;;
750;;;;0.3;;;;;;;;;;;;
800;;;;0.3;;;;;;;;;;;;
850;;;;0.3;;;;;;;;;;;;
900;;;;0.3;;;;;;;;;;;;
950;;;;0.3;;;;;;;;;;;;
1000;;;;0.3;;;;;;;;;;;;
